dato_fuld,dato,år,Artist,spillested,adresse,Coordinates,Latitude,Longitude,Genre,Arrangementstype
09/11/1995,9. nov.,1995,Danish Dia Delight,Skt. Annagades Skole,Ingerslevs Blvd. 2,"56.1450945,10.1927147",56.1450945,10.1927147,N/A,koncert
09/11/1995,9. nov.,1995,Ashley & Martin,Vores Sted,Nørregade 26,"56.1610773,10.2070466",56.1610773,10.2070466,N/A,koncert
09/11/1995,9. nov.,1995,Afro Moses,Æsken,Anholtsgade 4,"56.1611307,10.2062178",56.1611307,10.2062178,N/A,jamsession
09/11/1995,9. nov.,1995,Sct. Peders koncertkort,Lystrup Kirke,Lystrup Centervej 80,"56.235452,10.2316213",56.235452,10.2316213,klassisk,koncert
09/11/1995,9. nov.,1995,Aarhus Teater,Aarhus Teater,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,musikteater,forestilling
09/11/1995,9. nov.,1995,Aarhus Teater,Aarhus Teater,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,musikteater,forestilling
10/11/1995,10. nov.,1995,Aarhus Teater,Aarhus Teater,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,musikteater,forestilling
10/11/1995,10. nov.,1995,Bech & Freinds,Eifel,Store Torv 11,"56.1573931,10.205416",56.1573931,10.205416,N/A,koncert
10/11/1995,10. nov.,1995,Martin Preisler,Café Flinstone Pub,Rosenkrantzgade 20,"56.1523293,10.20356",56.1523293,10.20356,N/A,koncert
10/11/1995,10. nov.,1995,J.F.K.; Inflatable Fun; Cirkusorkestret,Cirkus Tværs,Gudrundsvej 78,"56.1558972,10.1327335",56.1558972,10.1327335,pop/rock/beat,koncert
10/11/1995,10. nov.,1995,Slænget,Fatter Eskild,Skolegade 25,"56.155218,10.2091098",56.155218,10.2091098,N/A,koncert
10/11/1995,10. nov.,1995,Small Town Blues Band,Glazzhuset,Åboulevarden 25,"56.1554238,10.2066651",56.1554238,10.2066651,jazz,koncert
10/11/1995,10. nov.,1995,Life of Agony,Huset,Vester Allé 15,"56.1561067,10.1954298",56.1561067,10.1954298,pop/rock/beat,koncert
10/11/1995,10. nov.,1995,N/A,Jazzbar Bent J,Nørre Allé 66,"56.1598911,10.2008777",56.1598911,10.2008777,jazz,jamsession
10/11/1995,10. nov.,1995,Flamenco Noir,Gyngen,Mejlgade 53,"56.1599711,10.2102918",56.1599711,10.2102918,N/A,spil til dans
10/11/1995,10. nov.,1995,Club 100%; Dog Union,Musikcaféen,Mejlgade 51-53,"56.1598092,10.2101701",56.1598092,10.2101701,N/A,N/A
10/11/1995,10. nov.,1995,The Very Big Band; Vestjysk musikkonservatorium,Musikhuset,Thomas Jensens Allé 2,"56.1529864,10.1964921",56.1529864,10.1964921,N/A,koncert
10/11/1995,10. nov.,1995,Trifid,Palmehaven,Østergade 12,"56.1540907,10.2033134",56.1540907,10.2033134,N/A,koncert
10/11/1995,10. nov.,1995,Mark Wallaby,Sherlock Holmes Pub,Frederiksgade 76A,"56.1540376,10.2017395",56.1540376,10.2017395,pop/rock/beat,koncert
10/11/1995,10. nov.,1995,Velvet,Blitz,Klostergade 34,"56.1589393,10.2039969",56.1589393,10.2039969,pop/rock/beat,koncert
10/11/1995,10. nov.,1995,N/A,Vestergade 58,Vestergade 58,"56.1575526,10.1983342",56.1575526,10.1983342,N/A,fest
10/11/1995,10. nov.,1995,Nørg Live,Vores Sted,Nørregade 26,"56.1610773,10.2070466",56.1610773,10.2070466,N/A,koncert
10/11/1995,10. nov.,1995,Ragga Dance Hall,Æsken,Anholtsgade 4,"56.1611307,10.2062178",56.1611307,10.2062178,ikkevestlig musik,koncert
10/11/1995,10. nov.,1995,Århus Symfoniorkester,Lokalcenter Skåde,Bushøjvænget 113,"56.1055373,10.1954279",56.1055373,10.1954279,klassisk,koncert
10/11/1995,10. nov.,1995,Aarhus Teater,Aarhus Teater,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,musikteater,forestilling
10/11/1995,10. nov.,1995,Sanggruppen,Eskegården,Byagervej 115,"56.0572387,10.2048303",56.0572387,10.2048303,N/A,koncert
10/11/1995,10. nov.,1995,N/A,Vor Frue Kirke,Frue Kirkeplads 3,"56.1580806,10.2021747",56.1580806,10.2021747,klassisk,musikandagt
11/11/1995,11. nov.,1995,Konservatoriets orkester (dir. Harro Ruijsenaars),Det Jyske musikkonservatorium,Fuglesangs Allé 26,"56.1641171,10.180192",56.1641171,10.180192,klassisk,koncert
11/11/1995,11. nov.,1995,Bech & Freinds,Eifel,Store Torv 11,"56.1573931,10.205416",56.1573931,10.205416,N/A,koncert
11/11/1995,11. nov.,1995,Tim Cambell,Eifel,Store Torv 11,"56.1573931,10.205416",56.1573931,10.205416,N/A,koncert
11/11/1995,11. nov.,1995,Slænget,Fatter Eskild,Skolegade 25,"56.155218,10.2091098",56.155218,10.2091098,N/A,koncert
11/11/1995,11. nov.,1995,Niels Hausgaard,Egå Ungdomshøjskole,Eghøjvej 31,"56.2144926,10.2699891",56.2144926,10.2699891,folk/folkemusik/spillemandsmusik,koncert
11/11/1995,11. nov.,1995,Mama's Cooking,Glazzhuset,Åboulevarden 25,"56.1554238,10.2066651",56.1554238,10.2066651,folk/folkemusik/spillemandsmusik,spil til spisning
11/11/1995,11. nov.,1995,Inside The Whale,Huset,Vester Allé 15,"56.1561067,10.1954298",56.1561067,10.1954298,pop/rock/beat,koncert
11/11/1995,11. nov.,1995,Revyoptimisterne; Benedicte-sangerne,Musikcaféen,Mejlgade 51-53,"56.1598092,10.2101701",56.1598092,10.2101701,underholdningsmusik,N/A
11/11/1995,11. nov.,1995,The Daytona Devils & Bezught,Musikcaféen,Mejlgade 51-53,"56.1598092,10.2101701",56.1598092,10.2101701,N/A,DJ-sæt
